n_cols,PyTorch Native (Execution Time (ms)),Triton (Autotuned) (Execution Time (ms)),Hand-written CUDA (Execution Time (ms))
128.000000,0.010240,0.011264,0.039936
256.000000,0.014336,0.014336,0.042528
384.000000,0.019456,0.020480,0.043040
512.000000,0.022528,0.024576,0.056576
640.000000,0.027648,0.027648,0.048224
768.000000,0.033792,0.030720,0.052544
896.000000,0.036864,0.036864,0.059392
1024.000000,0.043008,0.039936,0.063808
1152.000000,0.075872,0.045088,0.068752
1280.000000,0.080896,0.048128,0.072896
1408.000000,0.084992,0.055296,0.077824
1536.000000,0.090112,0.058368,0.082080
1664.000000,0.095232,0.062464,0.088064
1792.000000,0.101376,0.065536,0.092384
1920.000000,0.102400,0.072704,0.095232
2048.000000,0.104448,0.075776,0.100400
2176.000000,0.108544,0.081920,0.107520
2304.000000,0.110592,0.084992,0.111616
2432.000000,0.111616,0.091136,0.115712
2560.000000,0.113664,0.099328,0.123904
2688.000000,0.114688,0.105440,0.128000
2816.000000,0.119808,0.104448,0.132096
2944.000000,0.120832,0.109568,0.136160
3072.000000,0.122880,0.113664,0.140288
3200.000000,0.125952,0.119328,0.146432
3328.000000,0.132096,0.122880,0.149504
3456.000000,0.134144,0.126976,0.153744
3584.000000,0.136192,0.132096,0.158784
3712.000000,0.143360,0.135168,0.161792
3840.000000,0.146432,0.141312,0.167936
3968.000000,0.152576,0.143440,0.171072
4096.000000,0.154624,0.149504,0.177152
4224.000000,0.166912,0.156672,0.180224
4352.000000,0.169984,0.163840,0.187040
4480.000000,0.176128,0.166912,0.192512
4608.000000,0.177152,0.171040,0.196640
4736.000000,0.184304,0.176128,0.199680
4864.000000,0.187392,0.183296,0.204800
4992.000000,0.190464,0.187392,0.208480
5120.000000,0.193536,0.192512,0.212992
5248.000000,0.197632,0.194560,0.219136
5376.000000,0.199680,0.200704,0.223184
5504.000000,0.206848,0.203776,0.227456
5632.000000,0.209920,0.207872,0.230688
5760.000000,0.214016,0.211968,0.236544
5888.000000,0.217088,0.219136,0.239632
6016.000000,0.224256,0.222208,0.243728
6144.000000,0.229376,0.227328,0.248832
6272.000000,0.232448,0.230400,0.253088
6400.000000,0.234496,0.235520,0.257024
6528.000000,0.242688,0.240640,0.262464
6656.000000,0.245760,0.246720,0.267520
6784.000000,0.251904,0.247808,0.271360
6912.000000,0.256000,0.253952,0.278752
7040.000000,0.263168,0.258048,0.280640
7168.000000,0.265216,0.263168,0.284672
7296.000000,0.270336,0.265216,0.288944
7424.000000,0.275456,0.271360,0.293888
7552.000000,0.281088,0.275456,0.298144
7680.000000,0.284160,0.280576,0.303104
7808.000000,0.290816,0.284672,0.307200
7936.000000,0.294912,0.290816,0.311296
8064.000000,0.299008,0.293888,0.315424
8192.000000,0.303104,0.301056,0.321536
